index,date,year,month,day,meantemp
1,2013-01-01,2013,Jan,1,10
2,2013-01-02,2013,Jan,2,7.4
3,2013-01-03,2013,Jan,3,7.16666666666667
4,2013-01-04,2013,Jan,4,8.66666666666667
5,2013-01-05,2013,Jan,5,6
6,2013-01-06,2013,Jan,6,7
7,2013-01-07,2013,Jan,7,7
8,2013-01-08,2013,Jan,8,8.85714285714286
9,2013-01-09,2013,Jan,9,14
10,2013-01-10,2013,Jan,10,11
11,2013-01-11,2013,Jan,11,15.7142857142857
12,2013-01-12,2013,Jan,12,14
13,2013-01-13,2013,Jan,13,15.8333333333333
14,2013-01-14,2013,Jan,14,12.8333333333333
15,2013-01-15,2013,Jan,15,14.7142857142857
16,2013-01-16,2013,Jan,16,13.8333333333333
17,2013-01-17,2013,Jan,17,16.5
18,2013-01-18,2013,Jan,18,13.8333333333333
19,2013-01-19,2013,Jan,19,12.5
20,2013-01-20,2013,Jan,20,11.2857142857143
21,2013-01-21,2013,Jan,21,11.2
22,2013-01-22,2013,Jan,22,9.5
23,2013-01-23,2013,Jan,23,14
24,2013-01-24,2013,Jan,24,13.8333333333333
25,2013-01-25,2013,Jan,25,12.25
26,2013-01-26,2013,Jan,26,12.6666666666667
27,2013-01-27,2013,Jan,27,12.8571428571429
28,2013-01-28,2013,Jan,28,14.8333333333333
29,2013-01-29,2013,Jan,29,14.125
30,2013-01-30,2013,Jan,30,14.7142857142857
31,2013-01-31,2013,Jan,31,16.2
32,2013-02-01,2013,Feb,1,16
33,2013-02-02,2013,Feb,2,16.2857142857143
34,2013-02-03,2013,Feb,3,18
35,2013-02-04,2013,Feb,4,17.4285714285714
36,2013-02-05,2013,Feb,5,16.625
37,2013-02-06,2013,Feb,6,16.6666666666667
38,2013-02-07,2013,Feb,7,15.6
39,2013-02-08,2013,Feb,8,14
40,2013-02-09,2013,Feb,9,15.4285714285714
41,2013-02-10,2013,Feb,10,15.25
42,2013-02-11,2013,Feb,11,15.875
43,2013-02-12,2013,Feb,12,15.3333333333333
44,2013-02-13,2013,Feb,13,16.2857142857143
45,2013-02-14,2013,Feb,14,17.3333333333333
46,2013-02-15,2013,Feb,15,19.1666666666667
47,2013-02-16,2013,Feb,16,14.4285714285714
48,2013-02-17,2013,Feb,17,13.6666666666667
49,2013-02-18,2013,Feb,18,15.6
50,2013-02-19,2013,Feb,19,15.8571428571429
51,2013-02-20,2013,Feb,20,17.7142857142857
52,2013-02-21,2013,Feb,21,20
53,2013-02-22,2013,Feb,22,20.5
54,2013-02-23,2013,Feb,23,17.4285714285714
55,2013-02-24,2013,Feb,24,16.8571428571429
56,2013-02-25,2013,Feb,25,16.875
57,2013-02-26,2013,Feb,26,17.8571428571429
58,2013-02-27,2013,Feb,27,20.8
59,2013-02-28,2013,Feb,28,19.4285714285714
60,2013-03-01,2013,March,1,17.3333333333333
61,2013-03-02,2013,March,2,19
62,2013-03-03,2013,March,3,19.3333333333333
63,2013-03-04,2013,March,4,17.6
64,2013-03-05,2013,March,5,20.875
65,2013-03-06,2013,March,6,20.8571428571429
66,2013-03-07,2013,March,7,23.4285714285714
67,2013-03-08,2013,March,8,24.1666666666667
68,2013-03-09,2013,March,9,25.4285714285714
69,2013-03-10,2013,March,10,23.1428571428571
70,2013-03-11,2013,March,11,24
71,2013-03-12,2013,March,12,23.5
72,2013-03-13,2013,March,13,21.5
73,2013-03-14,2013,March,14,22.3333333333333
74,2013-03-15,2013,March,15,24.1666666666667
75,2013-03-16,2013,March,16,20.3333333333333
76,2013-03-17,2013,March,17,22.6666666666667
77,2013-03-18,2013,March,18,23.4285714285714
78,2013-03-19,2013,March,19,22.5
79,2013-03-20,2013,March,20,29.1666666666667
80,2013-03-21,2013,March,21,23.8333333333333
81,2013-03-22,2013,March,22,25.25
82,2013-03-23,2013,March,23,27.375
83,2013-03-24,2013,March,24,27
84,2013-03-25,2013,March,25,23.5
85,2013-03-26,2013,March,26,24.1428571428571
86,2013-03-27,2013,March,27,21
87,2013-03-28,2013,March,28,22.4285714285714
88,2013-03-29,2013,March,29,21.25
89,2013-03-30,2013,March,30,23.5
90,2013-03-31,2013,March,31,23.2
91,2013-04-01,2013,April,1,25.375
92,2013-04-02,2013,April,2,25.1666666666667
93,2013-04-03,2013,April,3,26.2
94,2013-04-04,2013,April,4,24.6
95,2013-04-05,2013,April,5,25.6
96,2013-04-06,2013,April,6,25.8571428571429
97,2013-04-07,2013,April,7,29.1428571428571
98,2013-04-08,2013,April,8,28.7142857142857
99,2013-04-09,2013,April,9,30.1666666666667
100,2013-04-10,2013,April,10,30
101,2013-04-11,2013,April,11,30
102,2013-04-12,2013,April,12,28.8571428571429
103,2013-04-13,2013,April,13,30.2
104,2013-04-14,2013,April,14,28.25
105,2013-04-15,2013,April,15,28.25
106,2013-04-16,2013,April,16,32.125
107,2013-04-17,2013,April,17,29.2
108,2013-04-18,2013,April,18,30.2857142857143
109,2013-04-19,2013,April,19,28.2857142857143
110,2013-04-20,2013,April,20,30.625
111,2013-04-21,2013,April,21,27.6666666666667
112,2013-04-22,2013,April,22,27.375
113,2013-04-23,2013,April,23,28.625
114,2013-04-24,2013,April,24,30.2857142857143
115,2013-04-25,2013,April,25,31.1428571428571
116,2013-04-26,2013,April,26,29.875
117,2013-04-27,2013,April,27,31.1428571428571
118,2013-04-28,2013,April,28,30.5714285714286
119,2013-04-29,2013,April,29,32.125
120,2013-04-30,2013,April,30,31.1428571428571
121,2013-05-01,2013,May,1,31.8571428571429
122,2013-05-02,2013,May,2,29.8333333333333
123,2013-05-03,2013,May,3,28.5714285714286
124,2013-05-04,2013,May,4,32.8571428571429
125,2013-05-05,2013,May,5,32.625
126,2013-05-06,2013,May,6,32.75
127,2013-05-07,2013,May,7,32.875
128,2013-05-08,2013,May,8,34.5
129,2013-05-09,2013,May,9,34.2857142857143
130,2013-05-10,2013,May,10,34
131,2013-05-11,2013,May,11,30.75
132,2013-05-12,2013,May,12,29.8571428571429
133,2013-05-13,2013,May,13,31.7142857142857
134,2013-05-14,2013,May,14,32.2857142857143
135,2013-05-15,2013,May,15,33
136,2013-05-16,2013,May,16,33
137,2013-05-17,2013,May,17,32.8333333333333
138,2013-05-18,2013,May,18,31.4
139,2013-05-19,2013,May,19,35.3333333333333
140,2013-05-20,2013,May,20,36.4
141,2013-05-21,2013,May,21,36
142,2013-05-22,2013,May,22,36.75
143,2013-05-23,2013,May,23,37.5
144,2013-05-24,2013,May,24,38.4285714285714
145,2013-05-25,2013,May,25,38.7142857142857
146,2013-05-26,2013,May,26,37.8
147,2013-05-27,2013,May,27,35.8571428571429
148,2013-05-28,2013,May,28,35.3333333333333
149,2013-05-29,2013,May,29,34.1428571428571
150,2013-05-30,2013,May,30,32.2
151,2013-05-31,2013,May,31,33.625
152,2013-06-01,2013,June,1,32
153,2013-06-02,2013,June,2,32.4
154,2013-06-03,2013,June,3,35.6
155,2013-06-04,2013,June,4,35.8571428571429
156,2013-06-05,2013,June,5,37.1666666666667
157,2013-06-06,2013,June,6,31.2857142857143
158,2013-06-07,2013,June,7,34
159,2013-06-08,2013,June,8,34.2
160,2013-06-09,2013,June,9,36.1666666666667
161,2013-06-10,2013,June,10,36.625
162,2013-06-11,2013,June,11,30.1666666666667
163,2013-06-12,2013,June,12,34.1428571428571
164,2013-06-13,2013,June,13,29.8333333333333
165,2013-06-14,2013,June,14,30.1428571428571
166,2013-06-15,2013,June,15,30.7142857142857
167,2013-06-16,2013,June,16,27
168,2013-06-17,2013,June,17,26.875
169,2013-06-18,2013,June,18,28.4
170,2013-06-19,2013,June,19,29.8571428571429
171,2013-06-20,2013,June,20,33
172,2013-06-21,2013,June,21,34.8333333333333
173,2013-06-22,2013,June,22,35.6
174,2013-06-23,2013,June,23,35.1666666666667
175,2013-06-24,2013,June,24,33.1428571428571
176,2013-06-25,2013,June,25,30.5714285714286
177,2013-06-26,2013,June,26,30.6666666666667
178,2013-06-27,2013,June,27,31.4285714285714
179,2013-06-28,2013,June,28,31.5
180,2013-06-29,2013,June,29,33.25
181,2013-06-30,2013,June,30,32.8333333333333
182,2013-07-01,2013,July,1,33.8571428571429
183,2013-07-02,2013,July,2,33.1428571428571
184,2013-07-03,2013,July,3,31.5714285714286
185,2013-07-04,2013,July,4,32.375
186,2013-07-05,2013,July,5,32.8
187,2013-07-06,2013,July,6,31
188,2013-07-07,2013,July,7,31.1666666666667
189,2013-07-08,2013,July,8,29.8333333333333
190,2013-07-09,2013,July,9,29
191,2013-07-10,2013,July,10,29.75
192,2013-07-11,2013,July,11,32.5
193,2013-07-12,2013,July,12,28.875
194,2013-07-13,2013,July,13,31.75
195,2013-07-14,2013,July,14,30.75
196,2013-07-15,2013,July,15,31.75
197,2013-07-16,2013,July,16,29.875
198,2013-07-17,2013,July,17,31.125
199,2013-07-18,2013,July,18,31.75
200,2013-07-19,2013,July,19,30.5
201,2013-07-20,2013,July,20,26.8333333333333
202,2013-07-21,2013,July,21,28.2
203,2013-07-22,2013,July,22,29.5
204,2013-07-23,2013,July,23,31.8571428571429
205,2013-07-24,2013,July,24,29.7142857142857
206,2013-07-25,2013,July,25,28.3333333333333
207,2013-07-26,2013,July,26,30
208,2013-07-27,2013,July,27,30.1428571428571
209,2013-07-28,2013,July,28,32.2857142857143
210,2013-07-29,2013,July,29,31
211,2013-07-30,2013,July,30,30.5
212,2013-07-31,2013,July,31,28.8333333333333
213,2013-08-01,2013,Aug,1,30
214,2013-08-02,2013,Aug,2,31.5714285714286
215,2013-08-03,2013,Aug,3,32.5
216,2013-08-04,2013,Aug,4,32.5
217,2013-08-05,2013,Aug,5,29.5
218,2013-08-06,2013,Aug,6,27.1666666666667
219,2013-08-07,2013,Aug,7,28.375
220,2013-08-08,2013,Aug,8,28.5
221,2013-08-09,2013,Aug,9,27.1666666666667
222,2013-08-10,2013,Aug,10,29.4285714285714
223,2013-08-11,2013,Aug,11,30
224,2013-08-12,2013,Aug,12,29.5
225,2013-08-13,2013,Aug,13,30.75
226,2013-08-14,2013,Aug,14,29.6666666666667
227,2013-08-15,2013,Aug,15,27.7142857142857
228,2013-08-16,2013,Aug,16,26.6
229,2013-08-17,2013,Aug,17,27.4285714285714
230,2013-08-18,2013,Aug,18,28.3333333333333
231,2013-08-19,2013,Aug,19,28.1666666666667
232,2013-08-20,2013,Aug,20,27.375
233,2013-08-21,2013,Aug,21,28.3333333333333
234,2013-08-22,2013,Aug,22,29.1666666666667
235,2013-08-23,2013,Aug,23,31.2857142857143
236,2013-08-24,2013,Aug,24,32
237,2013-08-25,2013,Aug,25,29
238,2013-08-26,2013,Aug,26,32
239,2013-08-27,2013,Aug,27,32.1428571428571
240,2013-08-28,2013,Aug,28,30.1428571428571
241,2013-08-29,2013,Aug,29,31.5
242,2013-08-30,2013,Aug,30,29.1666666666667
243,2013-08-31,2013,Aug,31,29
244,2013-09-01,2013,Sept,1,30
245,2013-09-02,2013,Sept,2,31.8571428571429
246,2013-09-03,2013,Sept,3,32.75
247,2013-09-04,2013,Sept,4,31.7142857142857
248,2013-09-05,2013,Sept,5,31.6666666666667
249,2013-09-06,2013,Sept,6,30.5714285714286
250,2013-09-07,2013,Sept,7,30.8333333333333
251,2013-09-08,2013,Sept,8,28
252,2013-09-09,2013,Sept,9,31
253,2013-09-10,2013,Sept,10,29.6666666666667
254,2013-09-11,2013,Sept,11,30.8571428571429
255,2013-09-12,2013,Sept,12,31.1666666666667
256,2013-09-13,2013,Sept,13,31.1428571428571
257,2013-09-14,2013,Sept,14,30.5
258,2013-09-15,2013,Sept,15,31.625
259,2013-09-16,2013,Sept,16,29.6666666666667
260,2013-09-17,2013,Sept,17,29.25
261,2013-09-18,2013,Sept,18,29.1428571428571
262,2013-09-19,2013,Sept,19,29.8
263,2013-09-20,2013,Sept,20,28.6666666666667
264,2013-09-21,2013,Sept,21,25.2
265,2013-09-22,2013,Sept,22,28.3333333333333
266,2013-09-23,2013,Sept,23,30.2857142857143
267,2013-09-24,2013,Sept,24,30.75
268,2013-09-25,2013,Sept,25,28.5714285714286
269,2013-09-26,2013,Sept,26,28.2
270,2013-09-27,2013,Sept,27,29
271,2013-09-28,2013,Sept,28,30
272,2013-09-29,2013,Sept,29,28.1428571428571
273,2013-09-30,2013,Sept,30,26.8571428571429
274,2013-10-01,2013,Oct,1,28.2857142857143
275,2013-10-02,2013,Oct,2,29.2
276,2013-10-03,2013,Oct,3,28.6
277,2013-10-04,2013,Oct,4,24.8333333333333
278,2013-10-05,2013,Oct,5,28.5
279,2013-10-06,2013,Oct,6,29.75
280,2013-10-07,2013,Oct,7,29.7142857142857
281,2013-10-08,2013,Oct,8,29.2
282,2013-10-09,2013,Oct,9,30.8333333333333
283,2013-10-10,2013,Oct,10,29.4285714285714
284,2013-10-11,2013,Oct,11,23.8571428571429
285,2013-10-12,2013,Oct,12,26.1428571428571
286,2013-10-13,2013,Oct,13,27.1666666666667
287,2013-10-14,2013,Oct,14,27.7142857142857
288,2013-10-15,2013,Oct,15,25.8571428571429
289,2013-10-16,2013,Oct,16,26.4285714285714
290,2013-10-17,2013,Oct,17,26.8571428571429
291,2013-10-18,2013,Oct,18,26.3333333333333
292,2013-10-19,2013,Oct,19,24.5714285714286
293,2013-10-20,2013,Oct,20,24.3333333333333
294,2013-10-21,2013,Oct,21,24.875
295,2013-10-22,2013,Oct,22,27.8
296,2013-10-23,2013,Oct,23,25
297,2013-10-24,2013,Oct,24,23.8571428571429
298,2013-10-25,2013,Oct,25,22.8
299,2013-10-26,2013,Oct,26,23
300,2013-10-27,2013,Oct,27,22.875
301,2013-10-28,2013,Oct,28,22.6666666666667
302,2013-10-29,2013,Oct,29,23
303,2013-10-30,2013,Oct,30,22.8571428571429
304,2013-10-31,2013,Oct,31,23.6666666666667
305,2013-11-01,2013,Nov,1,23.4285714285714
306,2013-11-02,2013,Nov,2,21.625
307,2013-11-03,2013,Nov,3,20.625
308,2013-11-04,2013,Nov,4,21.1666666666667
309,2013-11-05,2013,Nov,5,18.8333333333333
310,2013-11-06,2013,Nov,6,20.5714285714286
311,2013-11-07,2013,Nov,7,20.1428571428571
312,2013-11-08,2013,Nov,8,18
313,2013-11-09,2013,Nov,9,19.8571428571429
314,2013-11-10,2013,Nov,10,16.8333333333333
315,2013-11-11,2013,Nov,11,18.8571428571429
316,2013-11-12,2013,Nov,12,16.5714285714286
317,2013-11-13,2013,Nov,13,17.75
318,2013-11-14,2013,Nov,14,17.625
319,2013-11-15,2013,Nov,15,17
320,2013-11-16,2013,Nov,16,16.625
321,2013-11-17,2013,Nov,17,15.5714285714286
322,2013-11-18,2013,Nov,18,18.5
323,2013-11-19,2013,Nov,19,17.875
324,2013-11-20,2013,Nov,20,18.25
325,2013-11-21,2013,Nov,21,17.875
326,2013-11-22,2013,Nov,22,17.625
327,2013-11-23,2013,Nov,23,18.1428571428571
328,2013-11-24,2013,Nov,24,19.125
329,2013-11-25,2013,Nov,25,21.25
330,2013-11-26,2013,Nov,26,21.25
331,2013-11-27,2013,Nov,27,19.125
332,2013-11-28,2013,Nov,28,18.625
333,2013-11-29,2013,Nov,29,17.75
334,2013-11-30,2013,Nov,30,17.875
335,2013-12-01,2013,Dec,1,18
336,2013-12-02,2013,Dec,2,17.25
337,2013-12-03,2013,Dec,3,17.5
338,2013-12-04,2013,Dec,4,17.1428571428571
339,2013-12-05,2013,Dec,5,17.1428571428571
340,2013-12-06,2013,Dec,6,16.125
341,2013-12-07,2013,Dec,7,16
342,2013-12-08,2013,Dec,8,16.5
343,2013-12-09,2013,Dec,9,16.125
344,2013-12-10,2013,Dec,10,15.5
345,2013-12-11,2013,Dec,11,16.625
346,2013-12-12,2013,Dec,12,17.75
347,2013-12-13,2013,Dec,13,17.1428571428571
348,2013-12-14,2013,Dec,14,16.1428571428571
349,2013-12-15,2013,Dec,15,15.5
350,2013-12-16,2013,Dec,16,15.25
351,2013-12-17,2013,Dec,17,14.75
352,2013-12-18,2013,Dec,18,14.875
353,2013-12-19,2013,Dec,19,16.125
354,2013-12-20,2013,Dec,20,15.375
355,2013-12-21,2013,Dec,21,14.75
356,2013-12-22,2013,Dec,22,15.25
357,2013-12-23,2013,Dec,23,14.25
358,2013-12-24,2013,Dec,24,13.5
359,2013-12-25,2013,Dec,25,13.6666666666667
360,2013-12-26,2013,Dec,26,12.125
361,2013-12-27,2013,Dec,27,11.875
362,2013-12-28,2013,Dec,28,10.875
363,2013-12-29,2013,Dec,29,10.5714285714286
364,2013-12-30,2013,Dec,30,12.375
365,2013-12-31,2013,Dec,31,14.5
366,2014-01-01,2014,Jan,1,13.375
367,2014-01-02,2014,Jan,2,11
368,2014-01-03,2014,Jan,3,12.5
369,2014-01-04,2014,Jan,4,12.875
370,2014-01-05,2014,Jan,5,12.375
371,2014-01-06,2014,Jan,6,11.4285714285714
372,2014-01-07,2014,Jan,7,12.1428571428571
373,2014-01-08,2014,Jan,8,11.875
374,2014-01-09,2014,Jan,9,12.8333333333333
375,2014-01-10,2014,Jan,10,12.375
376,2014-01-11,2014,Jan,11,12.125
377,2014-01-12,2014,Jan,12,12.875
378,2014-01-13,2014,Jan,13,14
379,2014-01-14,2014,Jan,14,14.875
380,2014-01-15,2014,Jan,15,12
381,2014-01-16,2014,Jan,16,12.2857142857143
382,2014-01-17,2014,Jan,17,12
383,2014-01-18,2014,Jan,18,12.5
384,2014-01-19,2014,Jan,19,14.5
385,2014-01-20,2014,Jan,20,14.625
386,2014-01-21,2014,Jan,21,13.5714285714286
387,2014-01-22,2014,Jan,22,15.25
388,2014-01-23,2014,Jan,23,15.625
389,2014-01-24,2014,Jan,24,13.875
390,2014-01-25,2014,Jan,25,11.75
391,2014-01-26,2014,Jan,26,14.375
392,2014-01-27,2014,Jan,27,16.625
393,2014-01-28,2014,Jan,28,16.625
394,2014-01-29,2014,Jan,29,14.875
395,2014-01-30,2014,Jan,30,14.5
396,2014-01-31,2014,Jan,31,14.75
397,2014-02-01,2014,Feb,1,14
398,2014-02-02,2014,Feb,2,15.25
399,2014-02-03,2014,Feb,3,18.4285714285714
400,2014-02-04,2014,Feb,4,18.8571428571429
401,2014-02-05,2014,Feb,5,17
402,2014-02-06,2014,Feb,6,18.5
403,2014-02-07,2014,Feb,7,19.625
404,2014-02-08,2014,Feb,8,13.625
405,2014-02-09,2014,Feb,9,12.875
406,2014-02-10,2014,Feb,10,12.625
407,2014-02-11,2014,Feb,11,13.375
408,2014-02-12,2014,Feb,12,13.25
409,2014-02-13,2014,Feb,13,15.25
410,2014-02-14,2014,Feb,14,13
411,2014-02-15,2014,Feb,15,12.375
412,2014-02-16,2014,Feb,16,13.5
413,2014-02-17,2014,Feb,17,15.125
414,2014-02-18,2014,Feb,18,15.25
415,2014-02-19,2014,Feb,19,15.125
416,2014-02-20,2014,Feb,20,16.125
417,2014-02-21,2014,Feb,21,17.125
418,2014-02-22,2014,Feb,22,16.625
419,2014-02-23,2014,Feb,23,16.5
420,2014-02-24,2014,Feb,24,16.375
421,2014-02-25,2014,Feb,25,18.125
422,2014-02-26,2014,Feb,26,18.75
423,2014-02-27,2014,Feb,27,18.625
424,2014-02-28,2014,Feb,28,15.625
425,2014-03-01,2014,March,1,16.1428571428571
426,2014-03-02,2014,March,2,16.125
427,2014-03-03,2014,March,3,17.875
428,2014-03-04,2014,March,4,18.75
429,2014-03-05,2014,March,5,18.875
430,2014-03-06,2014,March,6,18.375
431,2014-03-07,2014,March,7,18.5
432,2014-03-08,2014,March,8,19.875
433,2014-03-09,2014,March,9,22
434,2014-03-10,2014,March,10,20
435,2014-03-11,2014,March,11,20.7142857142857
436,2014-03-12,2014,March,12,20
437,2014-03-13,2014,March,13,19
438,2014-03-14,2014,March,14,19.625
439,2014-03-15,2014,March,15,21.625
440,2014-03-16,2014,March,16,23.125
441,2014-03-17,2014,March,17,26.25
442,2014-03-18,2014,March,18,24.8571428571429
443,2014-03-19,2014,March,19,21.75
444,2014-03-20,2014,March,20,21.5
445,2014-03-21,2014,March,21,22.5
446,2014-03-22,2014,March,22,25
447,2014-03-23,2014,March,23,22.75
448,2014-03-24,2014,March,24,22.375
449,2014-03-25,2014,March,25,24.625
450,2014-03-26,2014,March,26,25.125
451,2014-03-27,2014,March,27,23.5
452,2014-03-28,2014,March,28,24.4285714285714
453,2014-03-29,2014,March,29,25.875
454,2014-03-30,2014,March,30,24.125
455,2014-03-31,2014,March,31,24.125
456,2014-04-01,2014,April,1,24.875
457,2014-04-02,2014,April,2,26.75
458,2014-04-03,2014,April,3,25
459,2014-04-04,2014,April,4,25.8571428571429
460,2014-04-05,2014,April,5,27.375
461,2014-04-06,2014,April,6,30.125
462,2014-04-07,2014,April,7,27.25
463,2014-04-08,2014,April,8,25.75
464,2014-04-09,2014,April,9,25.75
465,2014-04-10,2014,April,10,26.375
466,2014-04-11,2014,April,11,28.1428571428571
467,2014-04-12,2014,April,12,29.125
468,2014-04-13,2014,April,13,26.875
469,2014-04-14,2014,April,14,27.625
470,2014-04-15,2014,April,15,29
471,2014-04-16,2014,April,16,27.125
472,2014-04-17,2014,April,17,26.375
473,2014-04-18,2014,April,18,24.25
474,2014-04-19,2014,April,19,25.625
475,2014-04-20,2014,April,20,27
476,2014-04-21,2014,April,21,28
477,2014-04-22,2014,April,22,29.375
